DO_ID,Course Name,Date of Creation,Organisation Name,Certificate Course (Y/N),Status,Batch Count,All Batch IDs
do_113853051042562048194,Aug 3 test,2023-08-03,NULP,N,Retired,0,
do_1138539352292556801132,Aug 4th test 2,2023-08-04,NULP,N,Review,0,
do_1138554430023680001144,AUg 6 test 1,2023-08-06,NULP,N,Review,0,
do_1138558178592849921148,Aug 7th test 1,2023-08-07,NULP,N,Review,0,
do_1138629240610324481345,Aug-17th,2023-08-17,NULP,N,Review,0,
do_1135367516161720321225,Automation,2022-05-13,NULP,N,Retired,0,
do_1141495266195374081500,Basic GIS Mapping for Urban Landscape,2024-09-25,SAIARD,N,Live,1,'01415028137216409694'
do_1133456122408468481699,Basic GIS Mapping for Urban Landscape,2021-08-16,SAIARD,N,Retired,0,
do_1133456122408468481699,Basic GIS Mapping for Urban Landscape,2021-08-16,SAIARD,N,Live,0,
do_1138261095097548801134,Basic Level - Solid Waste Management Learning Journey,2023-06-26,NULP,Y,Live,1,'01382613422850867214'
do_113781653912657920144,"Basics of Remote Sensing ,GIS and GPS",2023-04-24,Madhya Pradesh,N,Draft,0,
do_113261282634162176193,Best Office Practices at Ghaziabad,2021-04-19,Ghaziabad Municipal Corporation,N,Retired,0,
do_1141354132313866241229,BIM Fundamentals,2024-09-05,BIMTeam,N,Live,1,'01413542096215244867'
do_1141354068640808961226,BIM Fundamentals - for the Indian Public Sector Client,2024-09-05,BIMTeam,N,Retired,0,
do_1137904394192977921289,Building Citizen-Centric E-Governance Solutions: Unveiling the Best Practices,2023-05-06,NUDM National Urban Digital Mission,Y,Live,1,'0138170367032197129'
do_1137904394192977921289,Building Citizen-Centric E-Governance Solutions: Unveiling the Best Practices,2023-05-06,NUDM National Urban Digital Mission,Y,Draft,1,'0138170367032197129'
do_1138878018679193601531,calender-sep21,2023-09-21,NULP,N,Retired,0,
do_1138878018679193601531,calender-sep21,2023-09-21,NULP,N,Retired,0,
do_1135862723413606401878,Capacity building session on Integrated Transport Authority,2022-07-22,FCDO,N,Live,2,"'01429681607524352024', '01429681616885350425'"
do_1136587508229734401555,Carbon Credit Finance - Indore,2022-11-01,Madhya Pradesh,N,Live,2,"'0136587651720888326', '01429681532336537616'"
do_1138835449532743681506,Cars,2023-09-15,NULP,N,Draft,0,
do_11345251151720448011074,Case of Urban Sanitation in India- Environmental Engineering,2022-01-14,Engineering Staff College of India,N,Live,0,
do_1133320957676912641510,CDG,2021-07-28,PCMC,N,Retired,0,
do_1131249556034027521628,CDO Training,2020-10-08,NULP,N,Retired,0,
do_113972114078507008168,certificate issue,2024-01-18,PCMC,N,Retired,1,'01397212818486886411'
do_1137137750457548801150,Certificate issue testing course Certificate issue testing course Certificate issue testing course,2023-01-18,NIUA,Y,Retired,1,'0137137816366120962'
do_1137137750457548801150,Certificate issue testing course Certificate issue testing course Certificate issue testing course,2023-01-18,NIUA,Y,Retired,1,'0137137816366120962'
do_114170203031863296173,"Cities, Climate and Air Quality: Monitoring and Managing  Air pollution",2024-10-24,NIUA,Y,Live,1,'014178593457364992120'
do_114159457357799424140,"Cities, Climate and Air Quality: Monitoring and Managing  Air pollution",2024-10-09,NIUA,N,Draft,0,
do_1141587381759508481782,"Cities, Climate and Green Buildings: Adoption and Promotion of Climate Responsive Buildings",2024-10-08,NIUA,Y,Live,1,'014158923264507904113'
do_1141587418312294401805,"Cities, Climate and Mobility: Advancing Low-Carbon Transport Networks",2024-10-08,NIUA,Y,Live,1,'014158944601636864115'
do_1141729247734824961175,"Cities, Climate and Resilient Planning: Strategies for Blue-Green Ecosystems, Biodiversity, Disaster Resilience, and Climate Action",2024-10-28,NIUA,Y,Live,1,'014178593261273088121'
do_1141729459142656001192,"Cities, Climate and Waste: Tackling Landfills, Reducing Municipal Waste and Managing Construction and Demolition Waste Management",2024-10-28,NIUA,Y,Draft,1,'014178595856867328122'
do_1141729459142656001192,"Cities, Climate and Waste: Tackling Landfills, Reducing Municipal Waste and Managing Construction and Demolition Waste Management",2024-10-28,NIUA,Y,Live,1,'014178595856867328122'
do_1141729127267287041154,"Cities, Climate and Water: Managing Resources, reducing losses and Enhancing Water Reuse and Efficiency",2024-10-28,NIUA,Y,Draft,1,'014178595150274560123'
do_1141729127267287041154,"Cities, Climate and Water: Managing Resources, reducing losses and Enhancing Water Reuse and Efficiency",2024-10-28,NIUA,Y,Live,1,'014178595150274560123'
do_1141587328678789121753,"Cities, Climate, and Energy: Enhancing Energy Efficiency and Renewable Integration",2024-10-08,NIUA,N,Live,1,'014158944399589376116'
do_11423236313498419213,"Climate Action, Built and Cultural Heritage in Indian Cities",2025-01-20,NIUA,Y,Live,1,'0142784404074577922'
do_1131255845835243521634,"ClimateSmart Cities Assessment Framework: Urban Planning, Green Cover and Biodiversity",2020-10-09,NIUA,N,Live,0,
do_113851042240143360162,Co-treatment,2023-07-31,NIUA,N,Draft,0,
do_113242210522341376113,Co-treatment,2021-03-23,NIUA,N,Retired,0,
do_1141559765609758721712,Co-treatment Bengali,2024-10-04,NIUA,N,Draft,0,
do_1138312420716707841334,Co-treatment of Faecal Sludge and Septage with Sewage at STP,2023-07-03,NULP,Y,Draft,1,'0138729487530639365'
do_1138312420716707841334,Co-treatment of Faecal Sludge and Septage with Sewage at STP,2023-07-03,NULP,Y,Live,1,'0138729487530639365'
do_1137829374836736001103,Co-treatment of Faecal Sludge and Septage with Sewage in a Sewage Treatment Plant (STP) for Urban Areas,2023-04-26,NIUA,N,Review,0,
do_1141362288340500481265,Co-treatment of Faecal Sludge and Septage with Sewage in a Sewage Treatment Plant (STP) for Urban Areas (Bengali),2024-09-06,NIUA,N,Draft,0,
do_1141362397141565441271,Co-treatment of Faecal Sludge and Septage with Sewage in a Sewage Treatment Plant (STP) for Urban Areas (Bengali),2024-09-06,NIUA,N,Draft,0,
do_11407051167775948811309,Co-treatment of Faecal Sludge and Septage with Sewage in a Sewage Treatment Plant (STP) for Urban Areas (Hindi),2024-06-05,NIUA,Y,Live,1,'01414119360169574486'
do_113312378103103488148,Co-treatment of Faecal Sludge and Septage with Sewage in Sewage Treatment Plant,2021-06-30,NIUA,N,Live,0,
do_1141836464290119681369,Co-treatment of Faecal Sludge and Septage with Sewage in Sewage Treatment Plant - Bengali,2024-11-12,NIUA,N,Draft,0,
do_1140263708456386561711,"Co-treatment of Faecal Sludge, Septage, and, sewage in the Sewage Treatment Plant in Urban Areas",2024-04-04,NIUA,N,Draft,0,
do_11404205874230067211045,Co-treatment of the Faecal Sludge and Septage at Sewage Treatment Plant (Nepali),2024-04-26,NIUA,N,Draft,0,
do_11419562606332313611153,Co-Treatment सह-उपचार कोर्स बारे Nepali,2024-11-29,NIUA,N,Retired,0,
do_113020117620998144114,collection3,2020-05-13,NUIS,N,Retired,0,
do_1141539317004861441643,Construction and Demolition (C&D) Waste Management,2024-10-01,NIUA,N,Review,0,
do_1135446125301678081456,Copy of  Tekdi test sachin81,2022-05-24,NULP,Y,Retired,3,"'01354113588947353619', '01354169748815052821', '01354387044948377622'"
do_113551004338249728181,Copy of  Tekdi test sachin81,2022-06-02,NULP,Y,Retired,3,"'01354113588947353619', '01354169748815052821', '01354387044948377622'"
do_1135514526455808001125,Copy of  Tekdi test sachin81,2022-06-03,NULP,Y,Retired,3,"'01354113588947353619', '01354169748815052821', '01354387044948377622'"
do_113807909463728128131,Copy of (CReSP) Capacity Building Session on Project Finance,2023-05-31,NULP,Y,Review,1,'01359830255212953610'
do_1135801262306590721533,Copy of akhilCourse,2022-07-13,NULP,N,Retired,0,
do_1135801257241559041529,Copy of akhilCourse,2022-07-13,NULP,N,Retired,0,
do_1133187329402388481184,Copy of Best Office Practices at Ghaziabad,2021-07-09,PCMC,N,Draft,0,
do_1133187328120668161160,Copy of Best Office Practices at Ghaziabad,2021-07-09,PCMC,N,Draft,0,
do_113824014880899072168,Copy of Building Citizen-Centric E-Governance Solutions: Unveiling the Best Practices,2023-06-23,NUDM National Urban Digital Mission,Y,Draft,1,'0138170367032197129'
do_11367480275100467211022,Copy of Carbon Credit Finance - Indore,2022-11-24,NULP,N,Draft,1,'0136587651720888326'
do_114233816528363520134,"Copy of Climate Action, Built and Cultural Heritage in Indian Cities",2025-01-22,NIUA,N,Retired,0,
do_1131452651699650561686,"Copy of ClimateSmart Cities Assessment Framework: Urban Planning, Green Cover and Biodiversity",2020-11-06,NULP,N,Draft,0,
do_1138735770703298561442,Copy of Co-treatment of Faecal Sludge and Septage with Sewage at STP,2023-09-01,NULP,Y,Draft,1,'0138729487530639365'
do_1139975459337584641411,Copy of Copy of Tekdi rm1 test1 course 2002,2024-02-23,NIUA,Y,Retired,5,"'01399183113967206412', '01399473946443776013', '01399544702334566419', '01399550851407872020', '01399755220165427235'"
do_1130245310249369601239,Copy of course for batch,2020-05-19,NULP,N,Retired,0,
do_1130302815387648001305,Copy of course for batch,2020-05-27,PCMC,N,Draft,0,
do_1142621326901084161365,Copy of Course on Adoption of Form Based Codes for Indian Cities,2025-03-03,nulp-mainorg,Y,Retired,1,'0142233204167802880'
do_11346031829409792011122,Copy of e-Certificate Course on Mainstreaming Urban Climate Action,2022-01-25,PCMC,N,Draft,0,
do_1133929319080427521945,Copy of e-Certificate Course on Mainstreaming Urban Climate Action,2021-10-22,PCMC,N,Draft,0,
do_1133872792703467521885,Copy of e-Certificate Course on Mainstreaming Urban Climate Action,2021-10-14,TERI,N,Retired,0,
do_1133265124223795201389,Copy of eDCR Training on Drawing Standards,2021-07-20,ESRI,N,Retired,0,
do_1133137468710338561145,Copy of Faecal Sludge and Septage Management: Orientation Module,2021-07-02,Ministry of Housing and Urban Affairs,N,Retired,0,
do_1131211885628948481577,Copy of FAECAL SLUDGE TREATMENT SYSTEMS,2020-10-03,NIUA,N,Draft,0,
do_11345244618482483211084,Copy of Fundamentals of Disability Inclusion,2022-01-14,NIUA,N,Retired,0,
do_1133904698192363521902,Copy of Fundamentals of Disability Inclusion- Course curated by NIUA & AIILSG,2021-10-18,NIUA,N,Retired,0,
do_1130547765481635841473,Copy of Identity and Access Management Overview,2020-07-01,NULP,N,Draft,0,
do_1130589061340528641523,Copy of Integrated Capacity Building Programme-Pradhan Mantri Awas Yojana,2020-07-07,NULP,N,Retired,0,
do_1133187336127856641171,Copy of Integrated Command and Control Centre at Ghaziabad Nagar Nigam,2021-07-09,PCMC,N,Draft,0,
do_1133442684152954881645,Copy of Integrated Wastewater and Septage Management - Planning Module,2021-08-14,PCMC,N,Draft,0,
do_1140300284062515201897,"Copy of Introduction to NUDM Platforms, Program Governance and Implementation",2024-04-09,NULP,Y,Draft,1,'0136604884714700808'
do_1139811376271769601183,"Copy of Introduction to NUDM Platforms, Program Governance and Implementation",2024-01-31,NUDM National Urban Digital Mission,Y,Draft,1,'0136604884714700808'
do_1136599112413020161706,"Copy of Introduction to NUDM Platforms, Program Governance and Implementation",2022-11-03,NIUA,N,Retired,0,
do_113965572480761856149,Copy of LCCM Phase I - Final Assessment,2024-01-09,Leaders in Climate Change Management LCCM,Y,Retired,1,'0139627876313088002'
do_1136590631922892801575,Copy of Making River Sensitive Master Plans,2022-11-02,NIUA,Y,Retired,1,'0136550577218846724'
do_11407671398585139211334,Copy of Managing Urban Rivers: From Planning to Practice,2024-06-14,NULP,Y,Draft,1,'0136550586553057283'
do_1136230932871741441633,Copy of Module 1: Context and Background (Academic Certification for Young Professionals under the ITCN Capacity Building Programme),2022-09-12,Infant Toddler Caregiving Neighborhood ,N,Retired,1,'01362301162154393621'
do_1136676595944816641887,Copy of Module 2: Introduction to ITCN (Academic Certification for Young Professionals under the ITCN Capacity Building Programme),2022-11-14,Infant Toddler Caregiving Neighborhood ,N,Retired,0,
do_1136676589802127361871,Copy of Module 2: Introduction to ITCN (Academic Certification for Young Professionals under the ITCN Capacity Building Programme),2022-11-14,Infant Toddler Caregiving Neighborhood ,N,Retired,0,
do_11403633853440000011004,Copy of NULP induction,2024-04-18,NULP,Y,Retired,1,'0137142706477875203'
do_1138671856187719681371,"Copy of Operational Level Course: Infant, Toddler, Caregiver-Friendly Neighbourhoods (ITCN) Capacity Building Programme",2023-08-23,Infant Toddler Caregiving Neighborhood ,Y,Draft,1,'0137682651353006082'
do_1133331298772582401578,Copy of Sustainable Urban Planning,2021-07-29,NIUA,N,Retired,0,
do_1141278281513943041114,Copy of T course with all contents 2508,2024-08-25,NIUA,Y,Draft,1,'01412776320634880052'
do_114303288823627776153,Copy of Tekdi merit Course testing,2025-04-30,NIUA,Y,Retired,2,"'01430329161620684849', '01430329791728844850'"
do_1139698939251507201122,Copy of tekdi rm course 1001,2024-01-15,NIUA,Y,Draft,1,'0139664547207577602'
do_1139698915574824961118,Copy of tekdi rm course inviteonly 1201,2024-01-15,NIUA,Y,Retired,1,'0139698167652515845'
do_1139954315437916161220,Copy of Tekdi rm1 test course 2002,2024-02-20,NIUA,Y,Retired,3,"'01399183113967206412', '01399473946443776013', '01399544702334566419'"
do_1139975444313047041407,Copy of Tekdi rm1 test1 course 2002,2024-02-23,NIUA,Y,Retired,5,"'01399183113967206412', '01399473946443776013', '01399544702334566419', '01399550851407872020', '01399755220165427235'"
do_113596041434112000149,Copy of Tekdi sachin course 84,2022-08-05,NULP,Y,Retired,1,'0135956272580034565'
do_1135706514854707201314,Copy of Tekdi Sachin Course34,2022-06-30,NULP,Y,Retired,1,'0135687464949104645'
do_1135410268151971841336,Copy of tekdi test sachin22,2022-05-19,NULP,Y,Retired,1,'01354094154659430417'
do_1135445426540625921443,Copy of Tekdi test sachin80,2022-05-24,NULP,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135445254580060161425,Copy of Tekdi test sachin80,2022-05-24,PCMC,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135436736954613761393,Copy of Tekdi test sachin80,2022-05-23,NULP,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135438077128949761404,Copy of Tekdi test sachin80,2022-05-23,NULP,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135438102255943681408,Copy of Tekdi test sachin80 - A,2022-05-23,NULP,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135445303648092161429,Copy of Tekdi test sachin82,2022-05-24,PCMC,Y,Retired,3,"'01354113588947353619', '01354169748815052821', '01354452769414348824'"
do_1135445311823052801433,Copy of Tekdi test sachin83,2022-05-24,NULP,N,Retired,0,
do_1135445604157030401451,Copy of Tekdi test sachin84,2022-05-24,NULP,Y,Retired,3,"'01354113588947353619', '01354169748815052821', '01354456661899673626'"
do_1135996170185768961104,Copy of Test Course2,2022-08-10,SachinTestOrg10,N,Retired,1,'01358975683024486443'
do_113594720542785536122,Copy of TestCourse7,2022-08-03,NULP,N,Retired,0,
do_1142998209026949121119,Copy of Testing Course,2025-04-25,NIUA,Y,Retired,2,"'01429980489664921640', '01429982266122240042'"
do_1142998105168117761114,Copy of Title test Course,2025-04-25,NIUA,Y,Retired,2,"'01429979383025664039', '01429981924334796841'"
do_1135396018811207681272,Copy of umesh course 1,2022-05-17,NULP,Y,Retired,2,"'0135368046772551687', '01353960713641984011'"
do_1138460259728343041513,country,2023-07-24,NULP,N,Failed,0,
do_113717291808915456164,Course,2023-01-23,NULP,N,Retired,0,
do_1133724287528468481844,course,2021-09-23,NULP,N,Draft,0,
do_1133324146462310401545,Course,2021-07-28,PCMC,N,Retired,0,
do_113019896788877312110,course,2020-05-13,NUIS,N,Retired,0,
do_11301599739378892816,course,2020-05-07,NUIS,N,Retired,0,
do_1137185594904084481153,Course 1,2023-01-25,NULP,N,Retired,0,
do_1137185594904084481153,Course 1 ass pp,2023-01-25,NULP,N,Retired,0,
do_1137228110596341761323,Course 1 draft,2023-01-31,NULP,N,Retired,0,
do_113972736033660928194,Course 19 Jan,2024-01-19,NIUA,N,Retired,0,
do_1133435123674890241683,Course 1: Basic GIS Mapping for Urban Landscape,2021-08-13,SAIARD,N,Retired,0,
do_1137186247959674881159,Course 2 assessment,2023-01-25,NULP,N,Retired,0,
do_1133436879770583041641,Course 2: Land use & Landcover (LULC) Mapping of Urban Development,2021-08-13,SAIARD,N,Retired,0,
do_1137668391887503361110,Course 2sfed,2023-04-03,NULP,N,Retired,0,
do_113020163650920448136,course 90,2020-05-13,NUIS,N,Retired,0,
do_113848059804934144178,Course ACP Module 2: Introduction to ITCN (Academic Certification for Young Professionals under the ITCN Capacity Building Programme),2023-07-27,Infant Toddler Caregiving Neighborhood ,N,Draft,0,
do_1137186465856307201163,Course ass 3,2023-01-25,NULP,N,Retired,0,
do_1136188601048268801597,course by shivani to test,2022-09-06,NULP,N,Retired,0,
do_1137229447458979841350,Course dummy p1,2023-01-31,NULP,N,Retired,0,
do_1130233683436830721229,course for batch,2020-05-18,NULP,N,Retired,0,
do_11372849792001638419,Course for Batch Email Test,2023-02-08,NIUA,N,Failed,0,
do_11422330454242099211,Course on Adoption of Form Based Codes for Indian Cities,2025-01-07,NULP,Y,Draft,1,'0142233204167802880'
do_11422330454242099211,Course on Adoption of Form Based Codes for Indian Cities,2025-01-07,NULP,Y,Live,1,'0142233204167802880'
do_1143067651328655361164,Course on Mainstreaming Urban Climate Action,2025-05-05,TERI,N,Live,1,'01430681676826214451'
do_11356862607413248018,course test to publish,2022-06-27,NULP,N,Retired,0,
do_113728506303471616113,Course to test batch invite-only,2023-02-08,NIUA,N,Retired,1,'01397277825361510426'
do_113971340168847360126,Course-05,2024-01-17,NIUA,N,Retired,1,'0139719357628170248'
do_113972084873781248156,Course-06,2024-01-18,NIUA,N,Retired,1,'0139721004172574729'
do_1131431093717401601663,Course-1001,2020-11-03,NULP,N,Draft,0,
do_1138319257416581121364,course-technology,2023-07-04,NULP,N,Review,0,
do_11301600055453286419,course1,2020-05-07,NUIS,N,Retired,0,
do_11301930601231974412,course46,2020-05-12,NUIS,N,Retired,0,
do_1130234202098073601233,course49,2020-05-18,NULP,N,Retired,0,
do_11301930698294886418,course5,2020-05-12,NUIS,N,Retired,0,
do_1130399325700177921326,Couurse For Children,2020-06-10,PCMC,N,Retired,0,
do_1130455350434283521349,Covid Response,2020-06-18,PCMC,N,Draft,0,
do_1130455336578580481318,Covid Response,2020-06-18,PCMC,N,Retired,0,
do_1130413263589294081336,Covid Response,2020-06-12,PCMC,N,Retired,0,
do_113962178934013952132,Customer Request 206569,2024-01-04,NULP,N,Review,0,
do_1141747139141468161258,Data Analytics and Visualisation,2024-10-30,NIUA,Y,Live,1,'014175948274982912119'
do_1130985863320698881563,Data and Data Governance,2020-09-01,PCMC,N,Live,0,
do_1133458778614743041760,Data Governance,2021-08-16,Ministry of Housing and Urban Affairs,N,Live,0,
